cod,cod_description,id_provincia,provincia_descripcion
1227,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1228,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1229,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1230,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1231,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1232,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1233,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1234,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1235,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1236,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1237,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1238,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1239,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1240,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1241,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1242,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1243,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1244,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1245,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1246,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1247,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1248,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1249,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1250,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1251,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1252,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1253,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1254,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1255,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1256,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1257,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1258,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1259,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1260,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1261,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1262,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1263,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1264,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1265,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1266,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1267,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1268,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1269,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1270,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1271,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1272,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1273,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1274,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1275,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1276,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1277,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1278,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1279,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1280,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1281,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1282,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1283,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1284,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1285,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1286,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1287,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1288,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1289,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1290,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1291,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1292,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1293,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1294,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1295,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1296,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1297,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1298,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1299,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1300,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1301,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1302,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1303,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1304,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1305,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1306,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1307,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1308,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1309,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1310,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1311,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1312,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1313,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1314,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1315,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1316,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1317,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1318,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1319,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1320,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1321,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1322,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1323,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1324,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1325,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1326,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1327,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1328,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1329,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1330,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1331,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1332,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1333,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1334,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1335,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1336,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1337,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1338,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1339,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1340,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1341,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1342,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1343,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1344,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1345,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1346,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1347,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1348,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1349,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1350,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1351,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1352,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1353,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1354,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1355,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1356,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1357,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1358,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1359,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1360,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1361,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1362,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1363,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1364,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1365,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1366,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1367,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1368,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1369,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1370,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1371,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1372,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1373,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1374,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1375,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1376,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1377,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1378,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1379,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1380,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1381,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1382,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1383,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1384,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1385,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1386,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1387,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1388,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1389,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1390,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1391,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1392,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1393,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1394,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1395,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1396,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1397,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1398,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1399,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1400,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1401,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1402,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1403,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1404,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1405,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1406,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1407,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
1408,"Capital Federal",02,"Ciudad Autonoma de Buenos Aires"
